净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,持续天数
2021-08-26,1.3070,1.3070,-0.0062,开放申购,封闭期,-1
2021-08-25,1.3152,1.3152,0.0018,开放申购,封闭期,1
2021-08-24,1.3128,1.3128,0.005699999999999999,开放申购,封闭期,1
2021-08-23,1.3053,1.3053,0.0095,开放申购,封闭期,1
2021-08-20,1.2930,1.2930,-0.0039000000000000003,开放申购,封闭期,-1
2021-08-19,1.2981,1.2981,0.0014000000000000002,开放申购,封闭期,1
2021-08-18,1.2963,1.2963,0.004,开放申购,封闭期,1
2021-08-17,1.2911,1.2911,-0.0103,开放申购,封闭期,-1
2021-08-16,1.3046,1.3046,-0.0044,开放申购,封闭期,-1
2021-08-13,1.3104,1.3104,-0.0014000000000000002,开放申购,封闭期,-1
2021-08-12,1.3123,1.3123,-0.0009,开放申购,封闭期,-1
2021-08-11,1.3135,1.3135,0.0016,开放申购,封闭期,1
2021-08-10,1.3114,1.3114,0.0024,开放申购,封闭期,1
2021-08-09,1.3082,1.3082,0.001,开放申购,封闭期,1
2021-08-06,1.3069,1.3069,-0.0011,开放申购,封闭期,-1
2021-08-05,1.3084,1.3084,-0.0016,开放申购,封闭期,-1
2021-08-04,1.3105,1.3105,0.011000000000000001,开放申购,封闭期,1
2021-08-03,1.2963,1.2963,-0.0068000000000000005,开放申购,封闭期,-1
2021-08-02,1.3052,1.3052,0.009000000000000001,开放申购,封闭期,1
2021-07-30,1.2936,1.2936,-0.0011,开放申购,封闭期,-1
2021-07-29,1.2950,1.2950,0.016200000000000003,开放申购,封闭期,1
2021-07-28,1.2744,1.2744,-0.0018,开放申购,封闭期,-1
2021-07-27,1.2767,1.2767,-0.0173,开放申购,封闭期,-1
2021-07-26,1.2992,1.2992,-0.011899999999999999,开放申购,封闭期,-1
2021-07-23,1.3148,1.3148,-0.0063,开放申购,封闭期,-1
2021-07-22,1.3231,1.3231,0.003,开放申购,封闭期,1
2021-07-21,1.3191,1.3191,0.008199999999999999,开放申购,封闭期,1
2021-07-20,1.3084,1.3084,0.0005,开放申购,封闭期,1
2021-07-19,1.3078,1.3078,0.0008,开放申购,封闭期,1
2021-07-16,1.3067,1.3067,-0.0051,开放申购,封闭期,-1
2021-07-15,1.3134,1.3134,0.0053,开放申购,封闭期,1
2021-07-14,1.3065,1.3065,-0.005,开放申购,封闭期,-1
2021-07-13,1.3130,1.3130,0.0018,开放申购,封闭期,1
2021-07-12,1.3107,1.3107,0.0075,开放申购,封闭期,1
2021-07-09,1.3010,1.3010,0.0008,开放申购,封闭期,1
2021-07-08,1.2999,1.2999,-0.0034999999999999996,开放申购,封闭期,-1
2021-07-07,1.3045,1.3045,0.008199999999999999,开放申购,封闭期,1
2021-07-06,1.2939,1.2939,-0.0016,开放申购,封闭期,-1
2021-07-05,1.2960,1.2960,0.0031,开放申购,封闭期,1
2021-07-02,1.2920,1.2920,-0.011200000000000002,开放申购,封闭期,-1
2021-07-01,1.3066,1.3066,-0.0022,开放申购,封闭期,-1
